song,performer,count,year
Afire Love,Ed Sheeran,1,2014
Pride.,Kendrick Lamar,2,2017
Clock Strikes,Timbaland & Magoo,14,1998
Did My Time,Korn,10,2003
Stop! In The Name Of Love / Free Your Mind,Glee Cast,1,2010
Call Me Maybe,Carly Rae Jepsen,43,2012
Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",6,2015
Sneakin',Drake Featuring 21 Savage,8,2016
Blem,Drake,4,2017
Come And Get It,Badfinger,15,1970
Damn!,YoungBloodZ Featuring Lil Jon,21,2003
Be My Guest,Fats Domino,10,1959
Count On Me,Jefferson Starship,14,1978
Someday,Sugar Ray,26,1999
Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,20,2005
Deeper Than The Night,Olivia Newton-John,13,1979
Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,20,2003
I Wish It Was Me,Tyrone Davis,9,1974
Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,19,1960
Lay All Your Love On Me,Information Society,8,1989
Make It With You,Bread,17,1970
Love Cries,Stage Dolls,13,1989
Let's Get It On,Shabba Ranks,9,1995
Hollywood Hot,The Eleventh Hour,14,1975
Independent,Webbie Featuring Lil' Phat & Lil' Boosie,4,2007
I Say A Little Prayer/By The Time I Get To Phoenix,Glen Campbell/Anne Murray,5,1971
Full Of Smoke,Christion,18,1997
Follow Your Heart,Triumph,2,1985
If You Gotta Make A Fool Of Somebody,Maxine Brown,3,1965
Dreams,Buddy Miles,3,1970
Mr. President,Dickie Goodman,4,1974
Gonna' Get Along Without You Now,Tracey Dey,8,1964
I Got To Go Back (And Watch That Little Girl Dance),The McCoys,5,1967
Never Stop,The Brand New Heavies Featuring N'Dea Davenport,8,1991
I Want To (Do Everything For You),Joe Tex,13,1965
Hot Love,T. Rex,6,1971
Keep Your Eye On Me,Herb Alpert,10,1987
Funky Fever,Clarence Carter,3,1968
Neon Lights,Demi Lovato,20,2014
Duele El Corazon,Enrique Iglesias Featuring Wisin,8,2016
I Surrender,Fontella Bass,6,1966
Farewell Love Scene,Romeo & Juliet Soundtrack,4,1969
Keep On Trying,Bobby Vee,5,1965
Hooch,Everything,4,1998
Hollywood,Shooting Star,5,1982
Mama Weer All Crazee Now,Slade,7,1972
Maybe This Day,Kissing The Pink,5,1983
Hey Now (Girls Just Want To Have Fun),Cyndi Lauper,5,1995
Never Had A Love,Pablo Cruise,4,1978
Half A Million Miles From Home,Albert Hammond,5,1973
Hot Shot,The Buena Vistas,4,1966
Love You,Jack Ingram,6,2006
It's In Your Eyes,Phil Collins,14,1997
Love Me Forever Or Love Me Not,Trilogy,7,1991
Gone,The Rip Chords,4,1963
It's My Party,Dave Stewart and Barbara Gaskin,6,1982
Dreamin,Loleatta Holloway,9,1977
IDGAF,Dua Lipa,23,2018
La Plume De Ma Tante,Hugo & Luigi,5,1959
Happy Anniversary,Jane Morgan,8,1959
Go For Soda,Kim Mitchell,9,1985
La Bomba,Azul Azul,20,2001
Moonlight Serenade,The Rivieras,11,1959
I Got 5 On It,Luniz,25,1995
Is She Really Going Out With Him?,Joe Jackson,15,1979
"Going Back To Cali (From ""Less Than Zero"")",LL Cool J,14,1988
Lesson In Leavin',Jo Dee Messina,20,1999
Dreamin',Vanessa Williams,20,1989
Kiss,The Art Of Noise Featuring Tom Jones,6,1989
Early In The Morning,The Gap Band,14,1982
I'm Comin' On On Back To You,Jackie Wilson,8,1961
I Can't Hear You No More/Music Is My Life,Helen Reddy,9,1976
I Was Checkin' Out She Was Checkin' In,Don Covay,10,1973
Made You Look,Nas,11,2003
Lonely Teenager,Dion,12,1960
Heart Of The Night,Juice Newton,11,1983
"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,8,1987
Let's Get Serious,Jermaine Jackson,23,1980
Hit Me Off,New Edition,18,1996
Love Drunk,Boys Like Girls,20,2009
Nightbird,Stevie Nicks,9,1984
I've Got A Feeling (We'll Be Seeing Each Other Again),Al Wilson,10,1976
I'll Be Over You,Toto,18,1986
"It's All The Way Live (Now) (From ""Eddie"")",Coolio,18,1996
I've Got So Much To Give,Barry White,11,1973
Castles In The Air,Don McLean,5,1982
Dance With Me,Peter Brown With Betty Wright,28,1978
Dance Tonight,Lucy Pearl,19,2000
Bow Down,Westside Connection,14,1996
'Til You Do Me Right,After 7,22,1995
Break My Stride,Matthew Wilder,16,1983
By The Time This Night Is Over,Kenny G With Peabo Bryson,20,1993
Changes,2Pac,15,1999
0 To 100 / The Catch Up,Drake,20,2014
Come Over,Aaliyah,20,2003
Barbara Ann,The Beach Boys,11,1966
A Letter To Myself,The Chi-lites,11,1973
Ta Ta,Clyde McPhatter,14,1960
Somewhere,The Tymes,7,1964
Don't Pay The Ferryman,Chris de Burgh,14,1983
Ascension (Don't Ever Wonder),Maxwell,18,1996
Dance With My Father,Luther Vandross,20,2003
Tender Kisses,Tracie Spencer,11,1991
Help Is On Its Way,Little River Band,22,1977
One Hell Of A Woman,Mac Davis,28,1974
Four In The Morning (I Can't Take Anymore),Night Ranger,13,1985
Hallelujah,Pentatonix,3,2017
Give It 2 You,Da Brat,18,1995
I Will Love Again,Lara Fabian,17,2000
I Need Love,LL Cool J,13,1987
Here Comes The Night,Them,10,1965
Everything,Mary J. Blige,14,1997
Got Your Money,Ol' Dirty Bastard Featuring Kelis,10,1999
Get On Up,Jodeci,18,1996
Heart Like A Wheel,The Steve Miller Band,5,1982
Give Your Heart A Break,Demi Lovato,32,2012
If Not For You,Olivia Newton-John,17,1971
I Don't Know If It's Right,"Evelyn ""Champagne"" King",16,1979
It's Going To Take Some Time,Carpenters,10,1972
My Best Friend's Girl,The Cars,11,1978
One Hundred Ways,Quincy Jones Featuring James Ingram,19,1982
I Can Never Go Home Anymore,The Shangri-Las,3,1966
Never A Time,Genesis,12,1993
I'm Free,Jon Secada,20,1993
Found A Cure,Ashford & Simpson,13,1979
Don't,Ed Sheeran,9,2015
Get Back,Roy Head,2,1966
Losing My Religion,Dia Frampton,2,2011
One More Time,Daft Punk,16,2001
L.A. Goodbye,The Ides Of March,9,1971
I'm From The Country,Tracy Byrd,18,1998
Find Out Who Your Friends Are,Tracy Lawrence,20,2007
"Louie, Louie",Fat Boys,3,1988
Livin' In The Light,Caron Wheeler,10,1990
Memphis,Donnie Brooks,2,1961
Going In Circles,The Friends Of Distinction,20,1969
Ida Jane,Fats Domino,2,1962
It's A Disco Night (Rock Don't Stop),The Isley Brothers,2,1979
Goodbye Charlie,Patti Page,3,1959
It's Too Soon To Know,Etta James,7,1961
Let Me Roll,Scarface,4,1993
Faded,SoulDecision Featuring Thrust,24,2000
If You Let Me Stay,Terence Trent D'Arby,8,1987
One Of Those Nights,Tim McGraw,3,2012
Michael,The C.O.D.'s,5,1965
I Can Survive,Triumph,2,1980
Kissin' Time,Bobby Rydell,17,1959
Hymn 43,Jethro Tull,2,1971
Love Hangover,The 5th Dimension,4,1976
I Wish,The Platters,10,1958
Muskrat Ramble,Freddy Cannon,6,1961
For All Time,Soluna,11,2002
"A Girl Like You (From ""Empire Records"")",Edwyn Collins,9,1995
Believer,Imagine Dragons,45,2017
Cream,Prince And The N.P.G.,14,1991
A Holly Jolly Christmas,Burl Ives,3,2017
TATI,6ix9ine Featuring DJ SPINKING,5,2018
Taking A Walk,Trippie Redd,3,2018
Phenomenal,Eminem,1,2015
All Through The Night,Cyndi Lauper,13,1984
Choose,Color Me Badd,17,1994
Christmas (Baby Please Come Home),Darlene Love,1,2018
Poor Boy,The Royaltones,11,1958
Rock Me Tonite,Billy Squier,16,1984
Carnival,Natalie Merchant,22,1995
Seven Wonders,Fleetwood Mac,13,1987
The Composer,Diana Ross & The Supremes,6,1969
She's Mine,Steve Perry,13,1984
(Everything I Do) I Do It For You,Bryan Adams,22,1991
Don't Want No-Body,J.D. Drews,1,1980
Don't Worry 'Bout A Thing,SHeDAISY,10,2005
"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,23,1988
Don't Ya,Brett Eldredge,20,2013
Don't You Believe It,Andy Williams,10,1962
Do I Make You Proud,Taylor Hicks,8,2006
The Edge Of Glory,Lady Gaga,24,2011
ATM,J. Cole,5,2018
Paris,The Chainsmokers,20,2017
Boy With Luv,BTS Featuring Halsey,8,2019
Sex And Candy,Marcy Playground,28,1998
Ours,Taylor Swift,6,2011
Overnight Celebrity,Twista,20,2004
Penny Lover,Lionel Richie,13,1984
Stand Back,Stevie Nicks,19,1983
Angel,Madonna,17,1985
Oops!...I Did It Again,Britney Spears,20,2000
Blue Angel,Roy Orbison,14,1960
Do You Know The Way To San José,Dionne Warwick,12,1968
Did It In A Minute,Daryl Hall John Oates,16,1982
Sk8er Boi,Avril Lavigne,16,2002
Do You Believe In Magic,The Lovin' Spoonful,13,1965
Rhythm Is Gonna Get You,Gloria Estefan & Miami Sound Machine,17,1987
Blame It,Jamie Foxx Featuring T-Pain,27,2009
Ever Since The World Began,Tommy Shaw,9,1988
Me & U,Cassie,27,2006
Kay,"John Wesley Ryles, I",4,1969
Love Is Just A Four-Letter Word,Joan Baez,4,1969
Love On The Airwaves,Night,3,1981
Leavin' On Your Mind,Patsy Cline,5,1963
Love On The Phone,Suzanne Fellini,2,1980
I Wanna Know If It's Good To You?,Funkadelic,4,1970
Drink To That All Night,Jerrod Niemann,20,2014
Heartbreak Hotel,Roger Miller,4,1966
Land Of 1000 Dances,Chris Kenner,7,1963
Fly Me To The Moon (In Other Words),Tony Bennett,4,1965
Mendocino,Sir Douglas Quintet,15,1969
Move It To The Rhythm,Technotronic Featuring Ya Kid K,7,1995
Guess Who's Back,Scarface Featuring Jay-Z & Beanie Sigel,8,2002
Everybody Be Somebody,Ruffneck Featuring Yavahn,7,1996
Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,4,2000
From Russia With Love,The Village Stompers,6,1964
My Friends Over You,New Found Glory,6,2002
"I Like It, I Love It",Tim McGraw,19,1995
Happenings Ten Years Time Ago,The Yardbirds,3,1967
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,7,1989
Dutchman's Gold,Walter Brennan With Billy Vaughn and his Orchestra,12,1960
Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,11,1979
Give It Up,Wilson Phillips,11,1992
Grenade,Bruno Mars,11,2010
I Got My Mind Made Up (You Can Get It Girl),Instant Funk,18,1979
"Go The Distance (From ""Hercules"")",Michael Bolton,20,1997
Goodbye To Love,Carpenters,10,1972
Me And Julio Down By The Schoolyard,Paul Simon,11,1972
Hitch Hike,Marvin Gaye,12,1963
Falsetto,The-Dream,19,2008
Mud On The Tires,Brad Paisley,16,2005
Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,20,2005
I Ran (So Far Away),A Flock Of Seagulls,22,1982
Money$ Too Tight (To Mention),Simply Red,15,1986
Harry Hippie,Bobby Womack & Peace,8,1973
I Believe In You,Don Williams,14,1980
Jeans On,David Dundas,12,1976
Best Of Intentions,Travis Tritt,20,2000
Run To Me,Bee Gees,12,1972
Red Red Wine,UB40,15,1984
The Belle Of St. Mark,Sheila E.,5,1985
Take Me To The River,Talking Heads,8,1979
The Ballad Of Jayne,L.A. Guns,22,1990
Detroit City,Bobby Bare,12,1963
Sexy Girl,Glenn Frey,15,1984
Deeper & Deeper,Freda Payne,12,1970
"So Fresh, So Clean",OutKast,20,2001
An Old Fashioned Love Song,Three Dog Night,4,1972
Danke Schoen,Wayne Newton And The Newton Brothers,12,1963
Setting The World On Fire,Kenny Chesney Featuring P!nk,20,2016
Doin' What She Likes,Blake Shelton,17,2014
Anaconda,Nicki Minaj,19,2014
Princess Of China,Coldplay Featuring Rihanna,2,2011
Quit Playing Games (With My Heart),Backstreet Boys,27,1997
STOOPID,6ix9ine Featuring Bobby Shmurda,9,2018
Can't Buy Me Love,The Beatles,10,1964
Praying For Time,Carrie Underwood,2,2008
Dance Again,Jennifer Lopez Featuring Pitbull,18,2012
Secretly,Jimmie Rodgers,3,1958
Bullet With Butterfly Wings,The Smashing Pumpkins,8,1995
Ring,Cardi B Featuring Kehlani,20,2018
Pretty Girls,Britney Spears & Iggy Azalea,8,2015
Beautiful Life,Ace Of Base,8,1995
Talk That Talk,Rihanna Featuring Jay-Z,2,2011
Alone,Bee Gees,20,1997
Over,Drake,20,2010
BedRock,Young Money Featuring Lloyd,3,2009
5% Tint,Travis Scott,2,2018
Crying,Don McLean,18,1981
Cruel Summer,Ace Of Base,20,1998
Sailing,Christopher Cross,21,1980
Don't Play That Song,Aretha Franklin with The Dixie Flyers,10,1970
Alive & Kicking,Simple Minds,11,1985
Sensual Seduction,Snoop Dogg,17,2008
(You Don't Know) How Glad I Am,Nancy Wilson,11,1964
Damaged,Danity Kane,22,2008
Seasons Change,Expose,15,1988
Crush On You,The Jets,20,1986
Blow Me (One Last Kiss),P!nk,24,2012
And I Love Her,The Beatles,9,1964
Ask Me,Elvis Presley With The Jordanaires,12,1964
That Was Yesterday,Foreigner,15,1985
Don't Play That Song (You Lied),Ben E. King,12,1962
Show Me What You Got,JAY-Z,11,2006
Please Remember Me,Tim McGraw,20,1999
Comin' In And Out Of Your Life,Barbra Streisand,9,1982
One,U2,20,1992
Rock And Roll Dreams Come Through,Meat Loaf,20,1994
Again,Lenny Kravitz,25,2001
Clap For The Wolfman,The Guess Who,16,1974
Cherry Pie,Warrant,17,1990
Boom! Shake The Room,Jazzy Jeff & The Fresh Prince,20,1993
Got To Have Your Love,Mantronix Featuring Wondress,4,1990
"Look At Granny Run, Run",Howard Tate,2,1966
Mammy Blue,Pop-Tops,10,1971
It's Uncanny,Daryl Hall John Oates,3,1977
Lonely For You,Gary Stites,14,1959
On The Dark Side,John Cafferty & The Beaver Brown Band,9,1983
Hey Jealousy,Gin Blossoms,22,1993
Mongoose,Elephant's Memory,14,1970
Mission-Impossible,Lalo Schifrin,14,1968
Here Tonight,Brett Young,20,2019
Little Girl Gone,Donna Fargo,10,1973
Feels Good (Don't Worry Bout A Thing),Naughty By Nature Featuring 3LW,20,2002
Ghosts That We Knew,Mumford & Sons,3,2012
It Doesn't Matter,Tyler Collins,3,1992
Goodbye Time,Blake Shelton,9,2005
I Confess,New Colony Six,4,1966
Great Balls Of Fire,Tiny Tim,3,1969
Muddy River,Johnny Rivers,11,1969
Here In My Heart,Al Martino,4,1961
I'm Your Man,Barry Manilow,5,1986
El Cerrito Place,Kenny Chesney,10,2012
Funky Broadway Part I,Dyke And The Blazers,15,1967
Light Of A Clear Blue Morning,Dolly Parton,5,1977
I Don't Love You Anymore,The London Quireboys,9,1990
Hollow,Tori Kelly,11,2016
Lay It On The Line,Triumph,7,1979
Love Has Finally Come At Last,Bobby Womack & Patti LaBelle,5,1984
I Believe In You,Stryper,5,1988
Long Time Lovin' You,McGuffey Lane,7,1981
I'm Girl Scoutin',The Intruders,4,1971
Irresistible,Cathy Dennis,11,1993
Nine In The Afternoon,Panic! At The Disco,19,2008
In Da Wind,Trick Daddy Featuring Cee-Lo & Big Boi,18,2002
Last Call,Lee Ann Womack,9,2009
Games That Lovers Play,Wayne Newton,6,1966
Marina,Rocco Granata and the International Quintet,8,1959
Never Been In Love,Randy Meisner,11,1982
Numb,Linkin Park,8,2003
Living Doll,Cliff Richard and The Drifters,13,1959
Lady,Styx,14,1975
Home,Daughtry,37,2007
I Live By The Groove,Paul Carrack,10,1989
I Wish I Were A Princess,Little Peggy March,7,1963
"Living Together, Growing Together",The 5th Dimension,9,1973
Love Of A Lifetime,Firehouse,22,1991
Feels So Good,Chuck Mangione,25,1978
My Own True Love,Jimmy Clanton,12,1959
Everybody Plays The Fool,Aaron Neville,20,1991
Margaritaville,Jimmy Buffett,22,1977
I Will Survive,Chantay Savage,20,1996
Lady Love Me (One More Time),George Benson,13,1983
Little Things,One Direction,13,2013
Drive (For Daddy Gene),Alan Jackson,20,2002
Girlfriend,Bow Wow & Omarion,7,2007
Lemon Tree,Trini Lopez,7,1965
Heaven Sent,Keyshia Cole,20,2008
Gold,Spandau Ballet,7,1983
Girls Are More Fun,Ray Parker Jr.,13,1985
Drift Away,Uncle Kracker Featuring Dobie Gray,35,2003
Hungry For Love,San Remo Golden Strings,10,1965
(There Was A) Tall Oak Tree,Dorsey Burnette,15,1960
Point Of No Return,Nu Shooz,22,1986
Stay The Night,Benjamin Orr,12,1987
Bits And Pieces,The Dave Clark Five,11,1964
After Midnight,Eric Clapton,11,1970
Shakin' All Over,The Guess Who,11,1965
Do The Funky Chicken,Rufus Thomas,12,1970
"Sunrise, Sunburn, Sunset",Luke Bryan,16,2018
Consider Me Gone,Reba,11,2009
Shame,The Motels,13,1985
She's All I Got,Freddie North,12,1971
Rich As F**k,Lil Wayne Featuring 2 Chainz,20,2013
The Beat Goes On,Sonny & Cher,11,1967
Spring Rain,Silvetti,15,1977
Blackout,Breathe Carolina,13,2012
Find A Way,Amy Grant,16,1985
I Got A Thang 4 Ya!,Lo-Key?,13,1993
Green Light,John Legend Featuring Andre 3000,15,2008
Hanginaround,Counting Crows,12,2000
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,19,2018
Kansas City,Trini Lopez,3,1964
I Hope You Dance,Lee Ann Womack,20,2000
Let Me Go,3 Doors Down,31,2005
I Want'a Do Something Freaky To You,Leon Haywood,17,1975
For The Love Of You (Part 1&2),The Isley Brothers,5,1976
Mary Lou,Ronnie Hawkins and The Hawks,16,1959
Gimmie That Girl,Joe Nichols,20,2010
From The Bottom Of My Broken Heart,Britney Spears,20,2000
Hanging On A Heart Attack,Device,14,1986
I'm Not My Brothers Keeper,The Flaming Ember,11,1970
Gotta Hold On To This Feeling,Jr. Walker & The All Stars,10,1970
Oh Baby Don't You Weep (Part 1),James Brown And The Famous Flames,10,1964
Don't,Billy Currington,8,2008
Double Trouble,Lynyrd Skynyrd,3,1976
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",22,2017
Hard Headed Woman,Elvis Presley With The Jordanaires,8,1958
Love Yourself,Justin Bieber,4,2015
Let It Be,The Beatles,14,1970
My Little Secret,Xscape,10,1998
Get Back,The Beatles With Billy Preston,12,1969
I Love This Life,LOCASH,7,2015
Harlem Nocturne,The Viscounts,15,1960
I Can't Wait,Deniece Williams,8,1988
Little Bell,The Dixie Cups,2,1964
Last Christmas,Glee Cast,2,2009
Life Is Worth Living,Justin Bieber,2,2015
"Mighty ""O""",OutKast,2,2006
I've Got You,Marc Anthony,14,2002
I Can't Hate You Anymore,Nick Lachey,6,2006
Grits Ain't Groceries (All Around The World),Little Milton,5,1969
My Life,Chuck Willis,5,1958
If You Were Mine,Ray Charles,13,1970
Keep On Keeping On,N.F. Porter,2,1971
I Can't Be All Bad,Johnny Adams,2,1969
Love Is A Hurtin' Thing,Lou Rawls,14,1966
Ladies Love Country Boys,Trace Adkins,2,2006
Joey's Song,Bill Haley And His Comets,12,1959
Moon River,Henry Mancini And His Orchestra,13,1961
Greensleeves,Mason Williams,2,1969
My Eyes Adored You,Frankie Valli,6,1974
Family Man,Fleetwood Mac,4,1988
Hit By Love,CeCe Peniston,3,1994
Midnight At The Oasis,Maria Muldaur,24,1974
Help Yourself,The Undisputed Truth,7,1974
Jealous Heart,Tab Hunter,10,1958
I'm Into You,Jennifer Lopez Featuring Lil Wayne,15,2011
I Guess I'm Crazy,Jim Reeves,5,1964
Falling Out Of Love,Ivan Neville,3,1989
Freddie Feelgood (And His Funky Little Five Piece Band),Ray Stevens,2,1966
On And On And On,ABBA,6,1981
Letter To Lucille,Tom Jones,8,1973
Little Suzi,Tesla,3,1987
Ex's & Oh's,Elle King,23,2015
I Just Can't Get You Out Of My Mind,Four Tops,8,1974
Gift Of Love,Van Dykes,2,1961
Street Dreams,Nas,8,1996
Dancing On The Ceiling,Lionel Richie,17,1986
Don't You Know,Della Reese,15,1959
Splish Splash,Bobby Darin,8,1958
Berzerk,Eminem,16,2013
Teenage Dream,Glee Cast,3,2010
Change The World,Eric Clapton,24,1996
Do What U Want,Lady Gaga Featuring R. Kelly,8,2013
The First Night,Monica,20,1998
Rich & Sad,Post Malone,6,2018
Don't Stop Believin',Journey,9,1981
One On One,Daryl Hall John Oates,18,1983
Suicide Blonde,INXS,13,1990
"After All (Love Theme From ""Chances Are"")",Cher & Peter Cetera,20,1989
She's Not You,Elvis Presley With The Jordanaires,10,1962
Shout - Part I,Joey Dee & the Starliters,12,1962
Rock Me,Steppenwolf,10,1969
Desiderata,Les Crane,12,1971
Mighty Joe,The Shocking Blue,7,1970
It's Your World,Marty Robbins,9,1961
If Love Is In Your Heart,Friend And Lover,2,1968
King Without A Crown,Matisyahu,14,2006
In The Midnight Hour,Cross Country,12,1973
Girl Tonite,Twista Featuring Trey Songz,17,2005
Like A Child,Julie Rogers,5,1965
Information,Eric Martin,2,1985
Luchini aka (This Is It),Camp Lo,17,1997
Family Man,Craig Campbell,6,2011
Hold On (Tighter To Love),Clubland,12,1992
Fancy Nancy,Skip And Flip,5,1959
Fire & Desire,Drake,4,2016
I Pity The Fool,Ann Peebles,4,1971
Get Up And Get Down,The Dramatics,4,1972
How Country Feels,Randy Houser,11,2012
High Energy,Evelyn Thomas,5,1984
Hello Old Friend,Eric Clapton,11,1976
Flesh For Fantasy,Billy Idol,12,1984
Modern Day Delilah,Van Stephenson,17,1984
I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",14,2007
Let It Shine/He Ain't Heavy...He's My Brother,Olivia Newton-John,5,1976
Love Will Show Us How,Christine McVie,10,1984
I Was Made For Dancin',Leif Garrett,8,1978
I'd Really Love To See You Tonight,England Dan & John Ford Coley,24,1976
One Man Band (Plays All Alone),Ronnie Dyson,13,1973
If You Remember Me,Chris Thompson & Night,19,1979
Games People Play,The Alan Parsons Project,19,1981
"Me, Myself & I",G-Eazy x Bebe Rexha,31,2016
I Hear A Symphony,The Supremes,1,1966
He'll Have To Stay,Jeanne Black,11,1960
My World Is Empty Without You,The Supremes,11,1966
I Turned You On,The Isley Brothers,10,1969
Foot Stomping - Part 1,The Flares,15,1961
I Love You Period,Dan Baird,12,1993
